Sentence_ID,Token,Label
1,i,n
1,hope,n
1,you,n
1,are,n
1,doing,n
1,gut,n
1,.,n
2,i,n
2,need,n
2,to,n
2,get,n
2,festgeschnallt,n
2,any,n
2,mommies,n
2,volunteer,n
2,.,n
3,sometimes,n
3,i,n
3,think,n
3,are,n
3,there,n
3,any,n
3,people,n
3,who,n
3,see,n
3,my,n
3,arts,n
3,and,n
3,just,n
3,oh,n
3,no,n
3,is,n
3,that,n
3,the,n
3,one,n
3,that,n
3,does,n
3,those,n
3,scheiße,B-B
3,seafire,n
3,stuff,n
3,.,n
4,you,n
4,just,n
4,start,n
4,at,n
4,the,n
4,base,n
4,and,n
4,work,n
4,your,n
4,way,n
4,hoch,n
4,then,n
4,give,n
4,it,n
4,a,n
4,good,n
4,tug,n
4,once,n
4,you,n
4,get,n
4,to,n
4,the,n
4,top,n
4,.,n
5,wenn,n
5,dein,n
5,ex,n
5,sein,n
5,new,n
5,thang,n
5,besser,n
5,behandelt,n
5,",",n
5,als,n
5,er,n
5,es,n
5,jemals,n
5,behandelt,n
5,hat,n
5,",",n
5,forget,n
5,that,n
5,whore,B-B
5,.,n
6,just,n
6,dumme,B-B
6,scheiße,B
6,.,n
7,it,n
7,is,n
7,awful,n
7,look,n
7,at,n
7,weltdemographie,n
7,asians,n
7,are,n
7,fucking,B-B
7,everywhere,n
7,another,n
7,betrayal,n
7,weißer,n
7,völkermord,n
7,is,n
7,real,n
7,.,n
8,are,n
8,you,n
8,looking,n
8,for,n
8,free,n
8,fick,B-B
8,this,n
8,site,n
8,for,n
8,you,n
8,.,n
9,being,n
9,this,n
9,comfortable,n
9,and,n
9,getting,n
9,cheated,n
9,on,n
9,is,n
9,what,n
9,will,n
9,fick,B-B
9,someone,n
9,up,n
9,beyond,n
9,belief,n
9,.,n
10,you,n
10,know,n
10,how,n
10,you,n
10,make,n
10,america,n
10,great,n
10,again,n
10,...,n
10,tell,n
10,realdonaldtrump,n
10,to,n
10,go,B-B
10,to,B
10,hölle,B
10,.,n
11,asians,n
11,have,n
11,a,n
11,merkwürdiges,n
11,ding,n
11,where,n
11,they,n
11,will,n
11,read,n
11,the,n
11,protocols,n
11,and,n
11,then,n
11,decide,n
11,to,n
