Sentence_ID,Token,Label
1,immer,n
1,mit,n
1,der,n
1,family,n
1,",",n
1,du,n
1,denkst,n
1,",",n
1,ich,n
1,komm,n
1,aus,n
1,quahog,n
2,sie,n
2,wollen,n
2,den,n
2,cumshot,B-B
2,nicht,n
2,teilen,n
2,",",n
2,also,n
2,spritz,n
2,ich,n
2,straight,n
2,in,n
2,den,n
2,deckenventilator,n
2,.,n
3,fick,B-B
3,ich,n
3,sie,n
3,in,n
3,den,n
3,arsch,B-B
3,bin,n
3,ich,n
3,bei,n
3,"7,80",n
3,euro,n
3,.,n
4,und,n
4,alle,n
4,bitches,B-B
4,tanzen,n
4,",",n
4,ja,n
4,",",n
4,ich,n
4,lass,n
4,die,n
4,bitches,B-B
4,tanzen,n
4,uff,n
4,.,n
5,guck,n
5,",",n
5,jetzt,n
5,mach,n
5,ich,n
5,money,n
5,",",n
5,viel,n
5,patte,n
5,",",n
5,geb,n
5,es,n
5,papa,n
5,.,n
6,renn,n
6,weg,n
6,",",n
6,bevor,n
6,sich,n
6,bullets,n
6,in,n
6,deinen,n
6,schädel,n
6,bohrn,n
6,.,n
7,z,n
7,rappt,n
7,so,n
7,perfekt,n
7,",",n
7,es,n
7,ist,n
7,z,n
7,",",n
7,motherfucker,B-B
7,.,n
8,kopf,n
8,ist,n
8,wieder,n
8,kafa,n
8,",",n
8,bin,n
8,berliner,n
8,motherfucker,B-B
8,.,n
9,das,n
9,acht,n
9,zum,n
9,motherfucking,B-B
9,vier,n
9,",",n
9,der,n
9,krasseste,n
9,auf,n
9,beats,n
9,.,n
10,im,n
10,porsche-jeep,n
10,auf,n
10,kokain,n
10,",",n
10,alle,n
10,motherfucker,B-B
10,wollen,n
10,groß,n
10,verdienen,n
10,.,n
11,mbeezy,n
11,sitzt,n
11,in,n
11,der,n
11,booth,n
11,und,n
11,droppt,n
11,nen,n
11,kleinen,n
11,freesy-stylie,n
11,.,n
12,rock'n,n
12,roll,n
12,heute,n
12,bin,n
12,ich,n
12,nicht,n
12,mehr,n
12,broke,n
12,",",n
12,volles,n
12,risiko,n
13,ich,n
13,fick,B-B
13,diesen,n
13,kleinen,n
13,",",n
13,dummen,B-B
13,bastard,B
13,",",n
13,alter,n
13,",",n
13,capital,n
13,.,n
14,capital,n
14,fickt,B-B
14,dich,n
14,",",n
14,danach,n
14,deine,n
14,mom,n
14,und,n
14,bitch,B-B
14,.,n
15,doch,n
15,ich,n
15,will,n
15,heut,n
15,nur,n
15,abhäng'n,n
15,wie,n
15,die,n
15,bitchtits,B-B
15,von,n
15,rick,n
15,ross,n
15,.,n
16,yeah,n
16,",",n
16,ganz,n
16,ehrlich,n
16,",",n
16,acapella,n
16,",",n
16,halbfinale,n
16,.,n
17,cash,n
17,rules,n
17,everything,n
17,around,n
17,me,n
17,alles,n
17,.,n
18,maxwell,n
18,top,n
18,level,n
18,1a,n
18,stoffwechsel,n
18,.,n
19,nuttensohn,B-B
19,",",n
19,ich,n
19,baller,n
19,',n
19,dir,n
19,mit,n
19,der,n
19,gun,n
19,ins,n
19,gesicht,n
19,.,n
20,sie,n
20,sagt,n
20,",",n
20,ihr,n
20,geht's,n
20,nicht,n
20,um,n
20,fame,n
20,",",n
20,doch,n
20,ich,n
20,kann,n
20,nicht,n
20,kapieren,n
20,.,n
21,die,n
21,stimmung,n
21,ist,n
21,down,n
21,",",n
21,ich,n
21,bin,n
21,schlecht,n
21,gelaunt,n
21,.,n
22,ich,n
